epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,106.145,1.69272,5.03515,1.07706,0.47222,0.33981,0.28126,0.0994,1.74748,1.93974,1.13537,0.000665331,0.000665331,0.000665331
2,209.895,1.84325,2.21512,1.16788,0.32615,0.25243,0.18388,0.07511,1.83422,2.45601,1.28469,0.00130562,0.00130562,0.00130562
3,312.752,1.79899,2.06515,1.14814,0.46116,0.23301,0.24008,0.11623,1.65067,2.26974,1.08455,0.00191952,0.00191952,0.00191952
4,415.371,1.80013,1.84614,1.15299,0.53701,0.24757,0.25132,0.11738,1.80426,2.16058,1.18862,0.0018812,0.0018812,0.0018812
5,517.783,1.69129,1.82352,1.09833,0.55749,0.37864,0.42384,0.19581,1.62493,1.59283,1.12326,0.0018416,0.0018416,0.0018416
6,620.399,1.74686,1.86075,1.16505,0.59407,0.29839,0.37734,0.17878,1.68009,1.60983,1.13046,0.001802,0.001802,0.001802
7,722.728,1.71406,1.65629,1.11399,0.48319,0.39806,0.38888,0.17913,1.56718,1.64339,1.07643,0.0017624,0.0017624,0.0017624
8,825.034,1.77599,1.71349,1.15667,0.44456,0.32524,0.32173,0.13253,1.59971,1.61961,1.0892,0.0017228,0.0017228,0.0017228
9,927.671,1.68691,1.54685,1.07851,0.48701,0.36869,0.42528,0.21695,1.5358,1.48677,1.08795,0.0016832,0.0016832,0.0016832
10,1030.4,1.66025,1.60337,1.07737,0.58396,0.40777,0.43517,0.207,1.4662,1.49594,1.05206,0.0016436,0.0016436,0.0016436
11,1132.95,1.54665,1.40087,1.00824,0.65885,0.45631,0.49041,0.23004,1.54607,1.53534,1.08482,0.001604,0.001604,0.001604
12,1235.39,1.60385,1.49142,1.05536,0.57993,0.41262,0.44739,0.22225,1.48631,1.42918,1.06637,0.0015644,0.0015644,0.0015644
