epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,105.972,1.66954,5.33654,1.04654,0.46911,0.38606,0.31653,0.09382,1.82221,2.15298,1.18798,0.000665331,0.000665331,0.000665331
2,209.087,1.80833,2.02931,1.09928,0.01646,0.37379,0.0118,0.00484,1.7243,381.454,1.26601,0.00130562,0.00130562,0.00130562
3,311.1,1.76945,1.97462,1.03833,0.57233,0.23301,0.23843,0.10244,1.84651,2.89037,1.22734,0.00191952,0.00191952,0.00191952
4,412.552,1.6618,2.61061,1.07564,0.46722,0.30097,0.31267,0.13582,1.77662,1.89943,1.18234,0.0018812,0.0018812,0.0018812
5,514.494,1.73644,1.9691,1.05649,0.26569,0.09709,0.07834,0.02927,1.30126,1.93764,1.04099,0.0018416,0.0018416,0.0018416
6,616.434,1.72492,1.73026,1.09072,0.32606,0.31553,0.22665,0.09415,1.71108,1.89804,1.20119,0.001802,0.001802,0.001802
7,718.034,1.6457,1.63132,1.04477,0.58213,0.32461,0.37606,0.16707,1.53217,1.95414,1.03326,0.0017624,0.0017624,0.0017624
8,819.53,1.62554,1.67062,1.0326,0.44286,0.37379,0.36394,0.15682,1.607,1.56322,1.09826,0.0017228,0.0017228,0.0017228
9,921.106,1.63226,1.55583,1.00212,0.49647,0.34951,0.3539,0.1731,1.58234,1.80194,1.06519,0.0016832,0.0016832,0.0016832
10,1022.42,1.59908,1.53495,0.99643,0.52877,0.41262,0.40808,0.18689,1.52282,1.53187,1.05482,0.0016436,0.0016436,0.0016436
11,1124.15,1.5669,1.57595,0.98443,0.49673,0.31553,0.35453,0.17753,1.55142,1.66221,1.08807,0.001604,0.001604,0.001604
12,1225.73,1.55133,1.4149,1.00457,0.48744,0.46602,0.45178,0.20362,1.59146,1.34054,1.0612,0.0015644,0.0015644,0.0015644
13,1327.42,1.54628,1.41924,0.97751,0.46775,0.40291,0.40772,0.18206,1.53225,1.52805,1.05828,0.0015248,0.0015248,0.0015248
14,1429.05,1.53848,1.45537,0.99871,0.52565,0.40884,0.43593,0.21067,1.50812,1.4289,1.06839,0.0014852,0.0014852,0.0014852
15,1530.79,1.47293,1.30631,0.95419,0.50411,0.39806,0.44086,0.22365,1.44187,1.43462,1.03866,0.0014456,0.0014456,0.0014456
16,1632.48,1.44491,1.36183,0.95444,0.68289,0.35437,0.44235,0.20807,1.4865,1.43887,1.04025,0.001406,0.001406,0.001406
17,1734.06,1.4778,1.33705,0.9803,0.48217,0.46556,0.45332,0.21105,1.44138,1.34051,1.05252,0.0013664,0.0013664,0.0013664
18,1835.51,1.36122,1.24511,0.89679,0.47658,0.38896,0.44385,0.22016,1.47915,1.32806,1.03663,0.0013268,0.0013268,0.0013268
19,1936.93,1.4296,1.31542,0.96775,0.5796,0.3932,0.44631,0.21654,1.56555,1.46985,1.0683,0.0012872,0.0012872,0.0012872
20,2038.51,1.45196,1.26472,0.93308,0.50699,0.42931,0.4678,0.23679,1.45276,1.44536,1.07917,0.0012476,0.0012476,0.0012476
21,2140.86,1.37763,1.19673,0.93521,0.57588,0.50094,0.51474,0.25938,1.38055,1.29356,1.00463,0.001208,0.001208,0.001208
22,2242.5,1.40333,1.17901,0.93009,0.60771,0.46602,0.51688,0.26753,1.37155,1.31171,0.99067,0.0011684,0.0011684,0.0011684
23,2343.88,1.35229,1.21836,0.88195,0.57552,0.47573,0.53356,0.25404,1.37909,1.25197,0.99259,0.0011288,0.0011288,0.0011288
24,2445.19,1.39556,1.23064,0.89505,0.59537,0.50971,0.5476,0.25575,1.3839,1.26273,0.98907,0.0010892,0.0010892,0.0010892
25,2546.58,1.41462,1.19372,0.94483,0.55767,0.44175,0.4948,0.25231,1.41236,1.28043,1.00886,0.0010496,0.0010496,0.0010496
26,2648.65,1.36229,1.16545,0.93319,0.62042,0.56311,0.58738,0.2723,1.39126,1.15791,0.97446,0.00101,0.00101,0.00101
27,2750.13,1.32147,1.18928,0.89402,0.58234,0.49029,0.49795,0.24816,1.41642,1.33209,1.0093,0.0009704,0.0009704,0.0009704
28,2851.82,1.38379,1.14576,0.94826,0.6995,0.3932,0.49088,0.2516,1.40273,1.3932,1.03986,0.0009308,0.0009308,0.0009308
29,2953.31,1.34652,1.12492,0.91013,0.64655,0.42718,0.50687,0.25087,1.36135,1.27076,1.00203,0.0008912,0.0008912,0.0008912
30,3054.92,1.38619,1.15058,0.91509,0.56928,0.50971,0.53417,0.2681,1.40716,1.21729,1.00456,0.0008516,0.0008516,0.0008516
31,3156.81,1.3589,1.05161,0.91681,0.6452,0.49515,0.54628,0.26049,1.37984,1.20428,1.00445,0.000812,0.000812,0.000812
32,3258.35,1.30357,1.03578,0.89502,0.63523,0.41748,0.53405,0.27324,1.37606,1.239,0.97187,0.0007724,0.0007724,0.0007724
33,3360.45,1.37054,1.12879,0.90636,0.62932,0.46117,0.52699,0.26784,1.36984,1.25995,1.00529,0.0007328,0.0007328,0.0007328
34,3462.52,1.37686,1.10065,0.9114,0.68581,0.42385,0.52493,0.2652,1.37471,1.18884,0.99557,0.0006932,0.0006932,0.0006932
35,3564.21,1.30636,1.1001,0.88795,0.63079,0.49029,0.5531,0.26237,1.35626,1.19441,0.9843,0.0006536,0.0006536,0.0006536
36,3666.1,1.39303,1.07832,0.93763,0.58444,0.54854,0.54786,0.24972,1.31789,1.17531,0.97088,0.000614,0.000614,0.000614
