epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,96.7404,1.26896,0.86991,0.83885,0.6959,0.61656,0.66797,0.34242,1.28684,1.26117,0.8904,0.000665714,0.000665714,0.000665714
2,185.102,1.31317,0.89234,0.84919,0.71456,0.63731,0.68637,0.32938,1.29243,1.08872,0.88456,0.00131919,0.00131919,0.00131919
3,270.662,1.3199,0.90566,0.83258,0.69456,0.63731,0.6629,0.30196,1.28183,1.15624,0.87509,0.00195947,0.00195947,0.00195947
4,356.073,1.32794,0.92774,0.85262,0.66859,0.62176,0.65946,0.31111,1.28733,1.22386,0.87994,0.0019406,0.0019406,0.0019406
5,440.606,1.30012,0.89951,0.84828,0.63443,0.61658,0.6349,0.30649,1.34106,1.28156,0.89358,0.0019208,0.0019208,0.0019208
6,525.816,1.39587,0.92687,0.89889,0.61388,0.64249,0.65768,0.30155,1.31738,1.13208,0.88921,0.001901,0.001901,0.001901
7,611.264,1.3221,0.85923,0.85544,0.66959,0.67358,0.685,0.32303,1.29914,1.16647,0.88237,0.0018812,0.0018812,0.0018812
