Run,lr0,mosaic,scale,mAP50,mAP50-95
9,0.005,0.5,0.3,0.6220184591929278,0.32362916316445656
10,0.005,0.5,0.5,0.587911223739443,0.27311308806944234
11,0.005,1.0,0.3,0.5971649824990323,0.32566717183669114
12,0.005,1.0,0.5,0.5074338157115016,0.25222668876759
