epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,105.878,1.81458,5.163,1.09828,0.31865,0.29126,0.25477,0.09315,1.80187,1.88219,1.14378,0.000665331,0.000665331,0.000665331
2,209.482,1.9972,2.35053,1.20474,0.46711,0.34466,0.33198,0.15164,1.77701,1.86549,1.16785,0.00130562,0.00130562,0.00130562
3,312.408,1.9103,2.06334,1.15277,0.54794,0.44175,0.38396,0.15323,1.7417,1.91889,1.17295,0.00191952,0.00191952,0.00191952
4,415.135,1.83309,1.97661,1.13038,0.43319,0.33981,0.29408,0.12497,1.7291,1.77228,1.16109,0.0018812,0.0018812,0.0018812
5,517.998,1.81272,1.94282,1.11126,0.53697,0.43689,0.42683,0.17443,1.59954,1.73825,1.11957,0.0018416,0.0018416,0.0018416
6,621.179,1.86639,1.93853,1.17819,0.44308,0.30097,0.25164,0.08052,1.69315,1.83319,1.13518,0.001802,0.001802,0.001802
7,723.365,1.71968,1.60472,1.06582,0.51888,0.47087,0.43667,0.17889,1.59605,1.46955,1.06603,0.0017624,0.0017624,0.0017624
8,826.013,1.83615,1.67814,1.15627,0.41855,0.41262,0.35425,0.13639,1.67268,1.52237,1.10452,0.0017228,0.0017228,0.0017228
9,928.475,1.72313,1.53762,1.0619,0.4684,0.35437,0.38249,0.1907,1.55561,1.70706,1.05241,0.0016832,0.0016832,0.0016832
10,1031.15,1.66993,1.59414,1.04826,0.58302,0.44175,0.44762,0.21338,1.4868,1.41277,1.07287,0.0016436,0.0016436,0.0016436
11,1153.11,1.59592,1.46402,1.00163,0.64281,0.44175,0.49681,0.24949,1.47682,1.4304,1.06939,0.001604,0.001604,0.001604
12,1290.39,1.66733,1.50322,1.0371,0.6168,0.41748,0.4808,0.23862,1.47172,1.36169,1.031,0.0015644,0.0015644,0.0015644
13,1397.97,1.58362,1.48645,1.02443,0.68507,0.48575,0.53056,0.22792,1.55011,1.3357,1.04957,0.0015248,0.0015248,0.0015248
14,1503.84,1.63235,1.4293,1.02584,0.63738,0.40291,0.47852,0.23316,1.49082,1.37304,1.06391,0.0014852,0.0014852,0.0014852
15,1609.45,1.66591,1.44037,1.04195,0.61301,0.43689,0.45817,0.20002,1.45999,1.39845,1.0132,0.0014456,0.0014456,0.0014456
16,1715.56,1.51016,1.38872,0.98335,0.61393,0.39806,0.48419,0.2444,1.43796,1.38547,1.01288,0.001406,0.001406,0.001406
17,1845.65,1.56166,1.35811,1.0021,0.5883,0.40777,0.48066,0.24534,1.35675,1.42927,0.98524,0.0013664,0.0013664,0.0013664
18,1978.59,1.50692,1.40483,0.99302,0.59541,0.46602,0.50552,0.23858,1.51889,1.27229,1.05254,0.0013268,0.0013268,0.0013268
19,2099.65,1.51693,1.34051,0.9906,0.64535,0.36893,0.44929,0.20759,1.40148,1.44712,0.98295,0.0012872,0.0012872,0.0012872
20,2233.29,1.52538,1.29804,1.048,0.54588,0.41262,0.44115,0.21349,1.44834,1.57835,0.99826,0.0012476,0.0012476,0.0012476
21,2353.61,1.48789,1.3252,0.98837,0.64672,0.40777,0.4793,0.24126,1.43331,1.44835,1.03124,0.001208,0.001208,0.001208
