epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,187.356,1.89691,3.55656,1.17887,0.57424,0.5,0.45421,0.19547,1.98928,1.81817,1.5201,0.000659574,0.000659574,0.000659574
2,313.365,1.9492,1.46196,1.23857,0.0251,0.59223,0.018,0.00734,2.10585,137.3,1.56698,0.00131311,0.00131311,0.00131311
3,438.989,1.95645,1.22937,1.2412,0.5259,0.50618,0.48471,0.20288,2.12866,1.77492,1.45451,0.00195345,0.00195345,0.00195345
4,562.748,1.88728,1.19968,1.21013,0.39607,0.56311,0.35931,0.1436,2.01223,5.03009,1.40498,0.0019406,0.0019406,0.0019406
5,680.112,1.81557,1.09331,1.17547,0.70179,0.57767,0.59214,0.259,2.04624,1.66497,1.39418,0.0019208,0.0019208,0.0019208
6,810.362,1.76307,1.02101,1.161,0.72589,0.54854,0.55317,0.23559,2.08594,1.50827,1.41496,0.001901,0.001901,0.001901
7,942.376,1.6894,0.97213,1.1295,0.64255,0.61165,0.60353,0.23744,2.09628,1.4096,1.41687,0.0018812,0.0018812,0.0018812
8,1075.1,1.72346,0.97255,1.14466,0.29297,0.57767,0.22857,0.09607,2.04542,6.3846,1.43321,0.0018614,0.0018614,0.0018614
9,1200.61,1.68184,0.9466,1.11703,0.66162,0.59796,0.57117,0.25935,1.97512,1.35033,1.38483,0.0018416,0.0018416,0.0018416
10,1330.06,1.68919,0.91784,1.14593,0.61287,0.65534,0.60202,0.28503,1.94806,1.24774,1.3775,0.0018218,0.0018218,0.0018218
11,1451.91,1.67753,0.96463,1.15386,0.65467,0.64563,0.65443,0.31356,1.8954,1.2964,1.32968,0.001802,0.001802,0.001802
12,1582.44,1.6249,0.93507,1.09599,0.76455,0.69357,0.68284,0.32224,1.86399,1.20251,1.33176,0.0017822,0.0017822,0.0017822
13,1710.29,1.53348,0.85721,1.10788,0.66023,0.59428,0.606,0.29015,1.94044,1.29409,1.34483,0.0017624,0.0017624,0.0017624
14,1846.33,1.54687,0.83972,1.0968,0.69726,0.64078,0.64775,0.28519,1.96436,1.18082,1.37388,0.0017426,0.0017426,0.0017426
15,1976.32,1.57142,0.87204,1.10051,0.61142,0.65689,0.64584,0.3253,1.91574,1.21454,1.36268,0.0017228,0.0017228,0.0017228
16,2111.66,1.5728,0.84332,1.06424,0.72833,0.68447,0.66407,0.3133,1.88094,1.09196,1.33761,0.001703,0.001703,0.001703
17,2238.23,1.56005,0.8201,1.08241,0.72311,0.67961,0.67247,0.322,1.90155,1.12581,1.33152,0.0016832,0.0016832,0.0016832
18,2370.56,1.55683,0.85072,1.06646,0.74119,0.64563,0.64199,0.30989,1.8993,1.30426,1.37265,0.0016634,0.0016634,0.0016634
19,2496.63,1.5156,0.80869,1.06394,0.66131,0.67299,0.63021,0.30023,1.91325,1.28103,1.39756,0.0016436,0.0016436,0.0016436
20,2628.1,1.49605,0.78022,1.04661,0.72695,0.63329,0.63188,0.30112,1.85061,1.27266,1.2915,0.0016238,0.0016238,0.0016238
21,2757.28,1.46777,0.77769,1.06453,0.72707,0.68932,0.67843,0.31245,1.97196,1.41726,1.35393,0.001604,0.001604,0.001604
22,2885,1.42859,0.7621,1.05101,0.76391,0.68932,0.7143,0.34172,1.89479,1.0997,1.33985,0.0015842,0.0015842,0.0015842
23,3022.84,1.45778,0.76359,1.03799,0.68582,0.69903,0.68192,0.31257,1.88086,1.17489,1.33577,0.0015644,0.0015644,0.0015644
24,3148.86,1.42301,0.74564,1.03343,0.70133,0.70673,0.68907,0.32036,1.86081,1.17464,1.31263,0.0015446,0.0015446,0.0015446
25,3277.75,1.40762,0.74051,1.03402,0.74608,0.71316,0.68784,0.32315,1.87674,1.09476,1.2928,0.0015248,0.0015248,0.0015248
26,3401.32,1.45928,0.76843,1.03844,0.76051,0.69417,0.67826,0.31963,1.80885,1.15464,1.31135,0.001505,0.001505,0.001505
27,3506.56,1.39537,0.71775,1.02611,0.6689,0.77475,0.65867,0.30111,1.88103,1.12488,1.3392,0.0014852,0.0014852,0.0014852
28,3651.81,1.40527,0.70674,1.01213,0.74887,0.69484,0.68218,0.31847,1.88746,1.11497,1.33902,0.0014654,0.0014654,0.0014654
29,3773.23,1.39572,0.72561,1.04444,0.77158,0.71845,0.74598,0.34323,1.88187,1.07747,1.30445,0.0014456,0.0014456,0.0014456
30,3899.05,1.39039,0.6983,1.02811,0.76266,0.65514,0.68262,0.31641,1.93111,1.12321,1.35667,0.0014258,0.0014258,0.0014258
31,4023.91,1.35316,0.70892,1.00602,0.75587,0.70641,0.69444,0.30882,1.89996,1.08164,1.3812,0.001406,0.001406,0.001406
32,4153.75,1.37763,0.71377,1.02107,0.65699,0.73453,0.67961,0.32158,1.79706,1.07018,1.28991,0.0013862,0.0013862,0.0013862
33,4273.74,1.37239,0.68477,1.00974,0.71325,0.65202,0.67234,0.31574,1.82758,1.11781,1.33286,0.0013664,0.0013664,0.0013664
34,4401.91,1.34635,0.69782,1.00427,0.71237,0.66125,0.67458,0.30469,1.82716,1.15898,1.30979,0.0013466,0.0013466,0.0013466
35,4522.07,1.32323,0.68699,1.0064,0.69567,0.71018,0.67633,0.30429,1.91276,1.15391,1.33188,0.0013268,0.0013268,0.0013268
36,4650.52,1.34445,0.68289,0.99788,0.37849,0.57943,0.41974,0.20554,1.8501,1.74652,1.36875,0.001307,0.001307,0.001307
37,4793.97,1.32967,0.67561,1.00725,0.71113,0.71702,0.67435,0.31567,1.82374,1.09936,1.30593,0.0012872,0.0012872,0.0012872
38,4918.19,1.31292,0.65968,0.99571,0.73454,0.64563,0.69096,0.3295,1.87713,1.15189,1.37743,0.0012674,0.0012674,0.0012674
