epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,116.465,1.85961,5.70549,1.14683,0.13419,0.43204,0.08009,0.0259,1.96827,49.7573,1.38175,0.000664884,0.000664884,0.000664884
2,227.472,2.1685,3.54527,1.34285,0.10266,0.30045,0.04847,0.01779,1.85707,3.48027,1.19553,0.00130519,0.00130519,0.00130519
3,347.651,2.10493,2.56705,1.29266,0.49838,0.31068,0.29314,0.13072,1.98046,2.04534,1.36634,0.00191909,0.00191909,0.00191909
4,456.883,1.9474,2.35513,1.26282,0.48748,0.35437,0.35344,0.1652,1.74593,2.02819,1.18062,0.0018812,0.0018812,0.0018812
5,571.209,1.94661,2.09149,1.23311,0.23324,0.1699,0.09618,0.04024,2.09884,2.80002,1.40127,0.0018416,0.0018416,0.0018416
6,689.905,1.86494,1.93865,1.21965,0.53724,0.40291,0.44506,0.18659,1.76795,1.8986,1.24428,0.001802,0.001802,0.001802
7,802.913,1.87749,1.93646,1.1935,0.61397,0.41262,0.47052,0.18723,1.72077,1.7053,1.21997,0.0017624,0.0017624,0.0017624
8,914.223,1.88991,1.86862,1.21449,0.55011,0.40777,0.40688,0.16569,1.69143,1.96944,1.18612,0.0017228,0.0017228,0.0017228
9,1047.64,1.86618,1.81944,1.2419,0.55147,0.40291,0.44198,0.21373,1.63583,1.63749,1.15607,0.0016832,0.0016832,0.0016832
10,1180.03,1.84731,1.72667,1.19993,0.61662,0.34354,0.40054,0.19326,1.64872,1.60686,1.20057,0.0016436,0.0016436,0.0016436
11,1318.02,1.81437,1.65984,1.19666,0.74726,0.31576,0.43035,0.2159,1.67244,1.75505,1.16701,0.001604,0.001604,0.001604
12,1481.38,1.76706,1.7161,1.16526,0.52897,0.39806,0.40733,0.18492,1.65926,1.64911,1.14931,0.0015644,0.0015644,0.0015644
13,1606.53,1.76052,1.59491,1.0887,0.61288,0.43806,0.488,0.23896,1.62158,1.56579,1.13357,0.0015248,0.0015248,0.0015248
14,1728.66,1.69505,1.45242,1.14954,0.65479,0.47573,0.52073,0.24604,1.63971,1.30813,1.11719,0.0014852,0.0014852,0.0014852
15,1877.37,1.71435,1.54278,1.12326,0.58949,0.46602,0.48079,0.20982,1.5465,1.53571,1.10326,0.0014456,0.0014456,0.0014456
16,2009.44,1.69913,1.52905,1.12214,0.62504,0.48544,0.52472,0.26657,1.56773,1.35779,1.08933,0.001406,0.001406,0.001406
17,2179.5,1.64972,1.43291,1.09715,0.58007,0.37379,0.42592,0.22416,1.61317,1.55175,1.15112,0.0013664,0.0013664,0.0013664
18,2348.02,1.60664,1.44665,1.05423,0.64012,0.43689,0.4937,0.2411,1.57096,1.39206,1.08246,0.0013268,0.0013268,0.0013268
19,2527.08,1.74775,1.50615,1.19248,0.62073,0.49515,0.5237,0.26017,1.61768,1.36078,1.13316,0.0012872,0.0012872,0.0012872
20,2645.61,1.68997,1.47432,1.12365,0.72383,0.48348,0.53789,0.27571,1.60099,1.39716,1.13218,0.0012476,0.0012476,0.0012476
21,2754.86,1.64083,1.40199,1.11038,0.66043,0.4466,0.50725,0.24173,1.59741,1.41088,1.114,0.001208,0.001208,0.001208
22,2863.69,1.58844,1.41085,1.05921,0.58712,0.47573,0.50821,0.23027,1.59351,1.47666,1.10369,0.0011684,0.0011684,0.0011684
23,2972.91,1.67092,1.45842,1.1149,0.59968,0.45631,0.51437,0.25705,1.59519,1.39666,1.1334,0.0011288,0.0011288,0.0011288
24,3082.05,1.6528,1.38753,1.13796,0.58048,0.54369,0.56316,0.28937,1.5167,1.25046,1.1141,0.0010892,0.0010892,0.0010892
25,3191.54,1.62367,1.35035,1.11821,0.66978,0.3835,0.50867,0.24868,1.59535,1.56604,1.1332,0.0010496,0.0010496,0.0010496
26,3300.36,1.58538,1.42337,1.0801,0.77508,0.3932,0.48934,0.23684,1.5939,1.57311,1.15522,0.00101,0.00101,0.00101
27,3409.19,1.5094,1.25302,1.05153,0.6279,0.46602,0.55198,0.28686,1.5342,1.3917,1.06444,0.0009704,0.0009704,0.0009704
28,3518.23,1.58235,1.31602,1.10209,0.59364,0.5,0.55987,0.28723,1.47285,1.25279,1.06439,0.0009308,0.0009308,0.0009308
29,3627.11,1.59176,1.32771,1.09472,0.60713,0.3932,0.44803,0.20326,1.60817,1.5786,1.118,0.0008912,0.0008912,0.0008912
30,3736.33,1.58068,1.23701,1.08077,0.6817,0.51456,0.57319,0.29247,1.55597,1.27224,1.12681,0.0008516,0.0008516,0.0008516
31,3845.29,1.53997,1.2125,1.07404,0.60087,0.54369,0.57153,0.27879,1.52045,1.21629,1.13233,0.000812,0.000812,0.000812
32,3954.5,1.53248,1.27945,1.05431,0.68904,0.48405,0.56908,0.29304,1.54574,1.40554,1.11094,0.0007724,0.0007724,0.0007724
33,4063.34,1.4573,1.18114,1.01637,0.66206,0.50971,0.57598,0.28869,1.48302,1.2978,1.10294,0.0007328,0.0007328,0.0007328
34,4172.59,1.51631,1.2257,1.09289,0.57296,0.54854,0.55189,0.28799,1.51863,1.23793,1.14567,0.0006932,0.0006932,0.0006932
35,4281.52,1.47679,1.18556,1.0085,0.66336,0.51456,0.58981,0.29748,1.50992,1.19807,1.15237,0.0006536,0.0006536,0.0006536
36,4390.79,1.49785,1.1559,1.06622,0.67684,0.54369,0.60773,0.30188,1.45644,1.18643,1.11963,0.000614,0.000614,0.000614
37,4499.85,1.41606,1.1298,1.03103,0.62773,0.49515,0.54005,0.27757,1.50808,1.55448,1.14195,0.0005744,0.0005744,0.0005744
38,4608.74,1.43009,1.0568,0.99349,0.62796,0.5244,0.59984,0.32103,1.4563,1.11029,1.10844,0.0005348,0.0005348,0.0005348
39,4717.77,1.44182,1.13786,1.04963,0.678,0.47087,0.57263,0.29348,1.48112,1.25048,1.11332,0.0004952,0.0004952,0.0004952
40,4826.84,1.47211,1.13068,1.04631,0.65037,0.56888,0.58783,0.29601,1.43125,1.22697,1.0708,0.0004556,0.0004556,0.0004556
41,4936.68,1.30002,0.9539,0.90643,0.56612,0.54369,0.55477,0.27689,1.46647,1.47138,1.1135,0.000416,0.000416,0.000416
42,5045.35,1.28238,0.95374,0.90561,0.68594,0.53883,0.60518,0.31601,1.49375,1.15906,1.15068,0.0003764,0.0003764,0.0003764
43,5154,1.30728,0.95618,0.93101,0.68769,0.46602,0.5822,0.29533,1.47863,1.26648,1.12797,0.0003368,0.0003368,0.0003368
44,5262.27,1.24532,0.916,0.88362,0.57549,0.57767,0.59904,0.29932,1.49585,1.12429,1.13232,0.0002972,0.0002972,0.0002972
45,5371.04,1.26447,0.85255,0.91951,0.6137,0.52913,0.59938,0.3101,1.49288,1.18718,1.17827,0.0002576,0.0002576,0.0002576
46,5479.78,1.22247,0.85445,0.88142,0.73653,0.48058,0.61712,0.32813,1.43005,1.16521,1.11688,0.000218,0.000218,0.000218
47,5588.23,1.17966,0.81169,0.86878,0.66321,0.49515,0.60737,0.32394,1.42891,1.21564,1.11533,0.0001784,0.0001784,0.0001784
48,5696.69,1.19549,0.82315,0.87962,0.63803,0.53051,0.60446,0.30454,1.46146,1.2425,1.1201,0.0001388,0.0001388,0.0001388
49,5805.58,1.24231,0.84115,0.90691,0.69947,0.50844,0.61203,0.3162,1.43013,1.22305,1.09093,9.92e-05,9.92e-05,9.92e-05
50,5914.16,1.1557,0.79715,0.86137,0.62189,0.5509,0.61441,0.31832,1.44182,1.21354,1.10619,5.96e-05,5.96e-05,5.96e-05
