epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.8964,2.39099,6.51093,1.04623,0.01238,0.15566,0.00741,0.00283,2.14916,15.9414,1.04925,0.00042,0.00042,0.00042
2,38.6016,2.42839,2.73062,1.05293,0.00073,0.03302,0.00038,0.0002,nan,nan,nan,0.000851486,0.000851486,0.000851486
3,54.3347,2.32016,1.50867,1.05637,0.38189,0.20755,0.1428,0.04689,2.76463,2.1109,1.47425,0.00127426,0.00127426,0.00127426
4,70.8041,2.21165,1.57548,1.06443,0.00602,0.22642,0.00351,0.00136,2.40608,inf,1.16467,0.00168832,0.00168832,0.00168832
5,87.1591,2.1701,1.97983,1.06174,0.02181,0.39151,0.01411,0.00402,2.59943,85.6278,1.3327,0.0019208,0.0019208,0.0019208
6,101.206,2.29983,1.54484,1.07552,0.03383,0.4717,0.02174,0.00705,2.52537,nan,1.28511,0.001901,0.001901,0.001901
7,114.912,2.11603,1.23017,1.02969,0.69333,0.38393,0.44966,0.15516,2.24176,1.70792,1.22301,0.0018812,0.0018812,0.0018812
8,131.336,2.18888,1.17848,1.04469,0.62898,0.40094,0.41719,0.13966,2.2764,3.59159,1.09823,0.0018614,0.0018614,0.0018614
9,147.903,2.20588,1.17969,1.04086,0.62822,0.47642,0.44092,0.15145,2.15953,2.66609,1.06658,0.0018416,0.0018416,0.0018416
10,165.319,2.0991,1.071,0.98958,0.57288,0.43868,0.42474,0.15031,2.20776,1.42738,1.09161,0.0018218,0.0018218,0.0018218
11,182.671,2.02694,1.0308,0.96917,0.60505,0.47642,0.47768,0.18862,2.14851,1.24506,1.05778,0.001802,0.001802,0.001802
12,199.228,2.13355,1.10916,1.007,0.632,0.45755,0.41053,0.13416,2.1787,1.60041,1.08991,0.0017822,0.0017822,0.0017822
13,212.864,2.03915,1.09272,0.99027,0.54972,0.48113,0.47292,0.16551,2.1961,1.32,1.07374,0.0017624,0.0017624,0.0017624
14,226.976,1.9248,0.95369,0.99675,0.6014,0.40566,0.42316,0.15167,2.17563,1.25016,1.1107,0.0017426,0.0017426,0.0017426
15,243.157,2.05672,0.98544,0.98476,0.50632,0.4717,0.45024,0.16819,2.15696,1.31099,1.10225,0.0017228,0.0017228,0.0017228
16,256.945,1.97273,1.04687,0.99244,0.59788,0.48393,0.4998,0.20323,2.10528,1.27254,1.03132,0.001703,0.001703,0.001703
17,270.677,1.89192,0.92921,0.95253,0.66447,0.52358,0.55053,0.21772,2.04856,1.2231,1.02584,0.0016832,0.0016832,0.0016832
18,285.815,1.90295,0.92313,0.94045,0.54829,0.50472,0.46645,0.18148,2.09077,1.24352,1.01209,0.0016634,0.0016634,0.0016634
19,299.503,1.89814,0.92565,0.94849,0.56923,0.5566,0.53317,0.20463,2.07702,1.14745,1.06346,0.0016436,0.0016436,0.0016436
20,313.187,1.84775,0.89969,0.94046,0.70327,0.53302,0.54538,0.21539,2.04408,1.13593,1.05798,0.0016238,0.0016238,0.0016238
21,328.262,1.90732,0.9427,0.93531,0.60775,0.48967,0.45386,0.1562,2.20646,1.25206,1.03736,0.001604,0.001604,0.001604
22,345.143,1.93213,0.94119,0.96167,0.63841,0.5283,0.51917,0.20195,2.07948,1.15109,1.03397,0.0015842,0.0015842,0.0015842
23,361.055,1.77558,0.88365,0.95776,0.67526,0.53774,0.53152,0.21281,2.01271,1.10214,1.02824,0.0015644,0.0015644,0.0015644
24,374.784,1.80534,0.88679,0.94118,0.65379,0.57547,0.54149,0.21686,2.01614,1.07601,1.05092,0.0015446,0.0015446,0.0015446
25,388.748,1.7487,0.84653,0.91132,0.64416,0.5283,0.53127,0.22536,1.99753,1.06713,1.04145,0.0015248,0.0015248,0.0015248
26,405.113,1.80665,0.86605,0.92414,0.67524,0.51979,0.53384,0.2291,1.95252,1.17618,1.00752,0.001505,0.001505,0.001505
27,419.053,1.82665,0.86241,0.95921,0.6511,0.54717,0.51448,0.20797,2.01126,1.08976,1.03129,0.0014852,0.0014852,0.0014852
28,432.789,1.78717,0.82915,0.93838,0.67889,0.50943,0.53864,0.19865,2.0526,1.10168,1.00743,0.0014654,0.0014654,0.0014654
29,448.272,1.82363,0.8479,0.90672,0.63575,0.52358,0.52222,0.19233,2.06826,1.08085,1.03301,0.0014456,0.0014456,0.0014456
30,462.18,1.72999,0.82329,0.93669,0.66124,0.5566,0.56365,0.2297,1.95944,1.06818,0.9954,0.0014258,0.0014258,0.0014258
31,475.879,1.6602,0.81061,0.91641,0.73116,0.56446,0.59808,0.23876,1.92567,1.04252,1.01062,0.001406,0.001406,0.001406
32,490.979,1.7268,0.81865,0.9047,0.6623,0.55189,0.56495,0.22263,2.02298,1.07433,1.04032,0.0013862,0.0013862,0.0013862
33,507.88,1.77838,0.84803,0.92402,0.65902,0.52358,0.55214,0.21894,2.08433,1.06928,1.06239,0.0013664,0.0013664,0.0013664
34,522.586,1.69339,0.81151,0.91051,0.63842,0.51637,0.52254,0.2057,2.13064,1.06883,1.03301,0.0013466,0.0013466,0.0013466
35,536.217,1.76891,0.84556,0.9121,0.65029,0.54382,0.54971,0.22619,2.0228,1.11781,1.02502,0.0013268,0.0013268,0.0013268
36,551.245,1.64624,0.78485,0.88589,0.71576,0.54245,0.56938,0.24335,1.96067,1.01194,1.02981,0.001307,0.001307,0.001307
37,566.648,1.75043,0.81148,0.92385,0.67706,0.56369,0.56111,0.23136,2.0064,1.18166,1.02915,0.0012872,0.0012872,0.0012872
38,580.494,1.7957,0.85228,0.90396,0.63247,0.50943,0.50158,0.20357,1.9998,1.23393,1.02209,0.0012674,0.0012674,0.0012674
39,595.136,1.72711,0.81297,0.91852,0.68886,0.53774,0.53457,0.22192,1.99326,1.25243,1.04843,0.0012476,0.0012476,0.0012476
40,610.546,1.70465,0.80663,0.91514,0.70018,0.51415,0.53068,0.21629,1.99724,1.25461,1.0322,0.0012278,0.0012278,0.0012278
41,624.322,1.59801,0.75118,0.90045,0.70057,0.5283,0.57038,0.23511,1.99278,1.14069,1.05814,0.001208,0.001208,0.001208
42,639.08,1.68911,0.77874,0.88581,0.64375,0.58019,0.58274,0.23496,2.04674,1.03953,1.03542,0.0011882,0.0011882,0.0011882
43,655.083,1.68134,0.76778,0.89935,0.65601,0.54874,0.54929,0.21942,2.02923,1.10809,1.03214,0.0011684,0.0011684,0.0011684
