epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,122.42,1.72041,6.64307,1.07802,0.04034,0.36893,0.02147,0.00753,2.17702,242.019,1.40336,0.000664884,0.000664884,0.000664884
2,249.97,1.89725,2.50619,1.22866,0.46108,0.21359,0.22681,0.08757,1.95488,2.59693,1.34429,0.00130519,0.00130519,0.00130519
3,374.696,1.89631,2.36013,1.23423,0.57664,0.24757,0.2576,0.12316,1.91994,2.53669,1.30958,0.00191909,0.00191909,0.00191909
4,507.634,1.80816,2.1621,1.19258,0.55013,0.33495,0.36046,0.1447,1.83851,1.89996,1.25177,0.0018812,0.0018812,0.0018812
5,633.99,1.86026,2.11722,1.2404,0.44728,0.3301,0.34579,0.15184,1.83474,1.85418,1.36704,0.0018416,0.0018416,0.0018416
6,761.227,1.76796,1.88977,1.14573,0.42513,0.32039,0.29409,0.11725,1.80193,2.46101,1.28921,0.001802,0.001802,0.001802
7,882.682,1.67436,1.69088,1.07437,0.3529,0.27798,0.27886,0.11786,1.8994,2.12953,1.41896,0.0017624,0.0017624,0.0017624
8,1001.48,1.67257,1.68659,1.09333,0.57143,0.34466,0.41486,0.18126,1.7465,2.01403,1.27288,0.0017228,0.0017228,0.0017228
9,1140.12,1.68771,1.67107,1.12909,0.42477,0.40777,0.38256,0.18888,1.70965,1.57664,1.21027,0.0016832,0.0016832,0.0016832
10,1260.51,1.62707,1.60336,1.06487,0.54953,0.34951,0.3764,0.18122,1.72747,1.72864,1.21203,0.0016436,0.0016436,0.0016436
11,1390.61,1.72091,1.6392,1.1512,0.51624,0.3301,0.37368,0.17286,1.78623,1.71031,1.23809,0.001604,0.001604,0.001604
12,1526.07,1.61879,1.54794,1.08599,0.51251,0.37379,0.37529,0.17515,1.78881,1.80867,1.23183,0.0015644,0.0015644,0.0015644
13,1653.21,1.57786,1.61987,1.06123,0.55775,0.38835,0.43317,0.19425,1.7336,1.5465,1.23554,0.0015248,0.0015248,0.0015248
14,1796.73,1.63697,1.51638,1.08445,0.49854,0.27992,0.34378,0.15659,1.83244,1.94212,1.2683,0.0014852,0.0014852,0.0014852
15,1914.76,1.5763,1.40034,1.03829,0.47518,0.37864,0.39031,0.17309,1.70821,1.775,1.23402,0.0014456,0.0014456,0.0014456
16,2030.24,1.52587,1.4714,1.0377,0.58268,0.36601,0.41612,0.19595,1.55758,1.54075,1.15091,0.001406,0.001406,0.001406
17,2148.82,1.52175,1.41938,1.04611,0.55431,0.3835,0.42302,0.18553,1.70268,1.55868,1.22842,0.0013664,0.0013664,0.0013664
18,2269.68,1.55628,1.44146,1.02726,0.53362,0.40291,0.45171,0.23285,1.61411,1.62682,1.16014,0.0013268,0.0013268,0.0013268
19,2401.63,1.45354,1.31335,0.99268,0.59174,0.35437,0.41092,0.20423,1.67754,1.68562,1.20773,0.0012872,0.0012872,0.0012872
20,2519.95,1.54274,1.33004,1.04726,0.41465,0.37379,0.37731,0.19975,1.63027,1.67207,1.15963,0.0012476,0.0012476,0.0012476
21,2658.62,1.45705,1.38823,0.99991,0.63012,0.49515,0.55329,0.28632,1.51899,1.37467,1.09676,0.001208,0.001208,0.001208
22,2801.26,1.44778,1.38978,0.9999,0.55439,0.36841,0.42527,0.21925,1.5586,1.69405,1.1277,0.0011684,0.0011684,0.0011684
23,2959.93,1.42701,1.34715,0.99006,0.58832,0.4466,0.49272,0.2245,1.68509,1.52782,1.19041,0.0011288,0.0011288,0.0011288
24,3105.95,1.46999,1.32815,1.01648,0.5262,0.48544,0.50722,0.24787,1.6264,1.38816,1.16844,0.0010892,0.0010892,0.0010892
25,3220.02,1.52732,1.29692,1.0159,0.58873,0.43689,0.50855,0.24698,1.58448,1.41393,1.1293,0.0010496,0.0010496,0.0010496
26,3346.31,1.37246,1.27464,0.95798,0.69794,0.43689,0.53257,0.26933,1.52187,1.4418,1.11507,0.00101,0.00101,0.00101
27,3495.3,1.38883,1.2564,0.94802,0.56499,0.48544,0.51134,0.25003,1.64297,1.4789,1.1504,0.0009704,0.0009704,0.0009704
28,3651.75,1.44325,1.21635,0.99859,0.57122,0.4466,0.50707,0.24773,1.55194,1.47713,1.12499,0.0009308,0.0009308,0.0009308
29,3808.22,1.37341,1.24819,0.93887,0.61265,0.45631,0.51577,0.2655,1.4816,1.33076,1.10441,0.0008912,0.0008912,0.0008912
30,3968.68,1.38345,1.18076,0.96482,0.72769,0.3932,0.50546,0.27141,1.52346,1.55428,1.10737,0.0008516,0.0008516,0.0008516
31,4132.97,1.31727,1.10915,0.91923,0.73069,0.37864,0.50854,0.26007,1.49794,1.38043,1.11379,0.000812,0.000812,0.000812
