epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,116.465,1.85961,5.70549,1.14683,0.13419,0.43204,0.08009,0.0259,1.96827,49.7573,1.38175,0.000664884,0.000664884,0.000664884
2,227.472,2.1685,3.54527,1.34285,0.10266,0.30045,0.04847,0.01779,1.85707,3.48027,1.19553,0.00130519,0.00130519,0.00130519
3,347.651,2.10493,2.56705,1.29266,0.49838,0.31068,0.29314,0.13072,1.98046,2.04534,1.36634,0.00191909,0.00191909,0.00191909
4,456.883,1.9474,2.35513,1.26282,0.48748,0.35437,0.35344,0.1652,1.74593,2.02819,1.18062,0.0018812,0.0018812,0.0018812
5,571.209,1.94661,2.09149,1.23311,0.23324,0.1699,0.09618,0.04024,2.09884,2.80002,1.40127,0.0018416,0.0018416,0.0018416
6,689.905,1.86494,1.93865,1.21965,0.53724,0.40291,0.44506,0.18659,1.76795,1.8986,1.24428,0.001802,0.001802,0.001802
7,802.913,1.87749,1.93646,1.1935,0.61397,0.41262,0.47052,0.18723,1.72077,1.7053,1.21997,0.0017624,0.0017624,0.0017624
