epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.14013,2.46567,15.8844,1.00579,0.38231,0.02358,0.06357,0.02397,2.24411,6.2916,0.9502,0.00014,0.00014,0.00014
2,7.33881,2.63579,16.4196,0.9856,0.34558,0.28774,0.20644,0.08592,2.01562,5.49266,1.00318,0.00029703,0.00029703,0.00029703
3,10.0911,2.41572,11.0688,0.99629,0.34049,0.14623,0.10424,0.0306,2.4223,5.06293,1.20264,0.000450892,0.000450892,0.000450892
4,12.6918,2.933,9.02985,1.02566,0.50397,0.14151,0.13995,0.04187,2.40618,5.9979,1.19196,0.000601586,0.000601586,0.000601586
5,15.3797,2.76108,9.94039,1.06577,0.0001,0.00472,5e-05,1e-05,2.25999,163.259,1.17489,0.000749112,0.000749112,0.000749112
6,18.0858,2.34628,9.18959,1.00096,0,0,0,0,2.35885,inf,1.21516,0.00089347,0.00089347,0.00089347
7,20.7145,2.55491,6.8903,1.23125,0.00823,0.37264,0.00584,0.00238,nan,nan,nan,0.00103466,0.00103466,0.00103466
8,23.3377,2.63674,4.44358,1.09861,0.00512,0.23113,0.00336,0.0012,nan,nan,nan,0.00117268,0.00117268,0.00117268
9,26.1268,3.10106,5.61952,1.12044,0.00015,0.00472,5e-05,1e-05,nan,nan,nan,0.00130754,0.00130754,0.00130754
10,29.0386,3.15861,7.75316,1.18964,0.00015,0.00472,5e-05,1e-05,nan,nan,nan,0.00143922,0.00143922,0.00143922
11,31.7088,3.08719,6.76556,1.19939,0.03816,0.10377,0.01096,0.00221,nan,nan,nan,0.00156774,0.00156774,0.00156774
12,34.3423,2.54942,2.9664,1.08408,0.03816,0.10377,0.01096,0.00221,nan,nan,nan,0.00169309,0.00169309,0.00169309
13,37.0014,3.25174,4.41424,1.17017,0.01321,0.24528,0.00665,0.00186,nan,nan,nan,0.0017624,0.0017624,0.0017624
14,39.6626,3.85561,3.65254,1.53309,0.01321,0.24528,0.00665,0.00186,nan,nan,nan,0.0017426,0.0017426,0.0017426
