epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,116.214,1.67426,5.29724,1.05012,0.02031,0.28155,0.01232,0.00412,1.92488,38.1766,1.18517,0.000665331,0.000665331,0.000665331
2,229.758,1.80308,2.16417,1.09032,0.44835,0.35903,0.36531,0.14369,1.78841,1.79502,1.18466,0.00130562,0.00130562,0.00130562
3,342.441,1.77839,1.8808,1.0455,0.42959,0.29979,0.25299,0.09415,1.74351,1.8821,1.12401,0.00191952,0.00191952,0.00191952
4,454.434,1.66393,1.83771,1.0616,0.53731,0.16505,0.22468,0.09952,1.68098,2.45034,1.10442,0.0018812,0.0018812,0.0018812
5,567.007,1.73794,1.98179,1.06075,0.49038,0.40291,0.3947,0.17776,1.65098,1.69554,1.09945,0.0018416,0.0018416,0.0018416
6,679.719,1.74702,1.71836,1.09095,0.38079,0.30583,0.30266,0.13982,1.69168,1.84656,1.14632,0.001802,0.001802,0.001802
7,792.099,1.68428,1.63794,1.03902,0.40701,0.24272,0.2499,0.10356,1.71977,2.00294,1.15698,0.0017624,0.0017624,0.0017624
8,905.022,1.6684,1.5654,1.05014,0.52615,0.42718,0.41761,0.20252,1.56878,1.43021,1.05072,0.0017228,0.0017228,0.0017228
9,1017.99,1.61573,1.6768,1.00256,0.5213,0.34466,0.36281,0.18497,1.5767,1.75325,1.09545,0.0016832,0.0016832,0.0016832
10,1130.69,1.60375,1.51786,1.00607,0.43118,0.44175,0.39361,0.17502,1.5508,1.47121,1.05821,0.0016436,0.0016436,0.0016436
11,1243.31,1.57454,1.51794,0.98668,0.55935,0.42718,0.47078,0.2167,1.57284,1.46497,1.07955,0.001604,0.001604,0.001604
12,1356.02,1.54936,1.4038,0.99422,0.51136,0.40777,0.46386,0.22794,1.49184,1.34577,1.03882,0.0015644,0.0015644,0.0015644
13,1468.99,1.54685,1.41394,0.97189,0.5519,0.30583,0.39351,0.19147,1.48991,1.43607,1.04442,0.0015248,0.0015248,0.0015248
14,1581.73,1.54284,1.45992,1.003,0.37898,0.47087,0.41293,0.17661,1.51742,1.35718,1.05781,0.0014852,0.0014852,0.0014852
15,1694.82,1.45585,1.2389,0.95038,0.56863,0.3835,0.42387,0.20535,1.48851,1.49192,1.03428,0.0014456,0.0014456,0.0014456
16,1807.26,1.45506,1.37169,0.95839,0.55622,0.36893,0.43484,0.20654,1.46138,1.40245,1.01219,0.001406,0.001406,0.001406
17,1920.12,1.44578,1.3052,0.96183,0.51599,0.43689,0.45978,0.22799,1.43354,1.32908,1.01845,0.0013664,0.0013664,0.0013664
18,2032.52,1.34274,1.20213,0.8861,0.71223,0.33495,0.4384,0.23157,1.45081,1.32883,1.02006,0.0013268,0.0013268,0.0013268
19,2145.24,1.43577,1.29845,0.97385,0.62858,0.34466,0.4251,0.21502,1.486,1.4762,1.02424,0.0012872,0.0012872,0.0012872
20,2257.83,1.43723,1.26861,0.91706,0.61731,0.46117,0.51977,0.25609,1.4652,1.4118,1.02939,0.0012476,0.0012476,0.0012476
21,2370.6,1.3833,1.18216,0.93902,0.61321,0.43689,0.49213,0.23744,1.43099,1.37978,1.03553,0.001208,0.001208,0.001208
22,2488.19,1.38691,1.21535,0.91781,0.56889,0.46117,0.52313,0.26464,1.38244,1.30279,0.98364,0.0011684,0.0011684,0.0011684
23,2600.87,1.34889,1.21495,0.88973,0.61139,0.46588,0.54378,0.26566,1.37418,1.23231,0.98375,0.0011288,0.0011288,0.0011288
24,2719.39,1.39082,1.18666,0.89793,0.63762,0.55825,0.59536,0.26988,1.38646,1.1527,0.98402,0.0010892,0.0010892,0.0010892
25,2832.11,1.41841,1.18221,0.95686,0.61207,0.5,0.53045,0.25826,1.38042,1.19403,0.98083,0.0010496,0.0010496,0.0010496
26,2960.78,1.35406,1.19788,0.93621,0.66921,0.54014,0.60785,0.28219,1.37935,1.12285,0.96494,0.00101,0.00101,0.00101
27,3084.74,1.3278,1.23568,0.9061,0.57409,0.37379,0.44006,0.22704,1.37846,1.55456,0.97963,0.0009704,0.0009704,0.0009704
28,3212.48,1.40159,1.1671,0.95663,0.5918,0.43204,0.50337,0.25735,1.31634,1.26178,0.97126,0.0009308,0.0009308,0.0009308
29,3346.98,1.31462,1.10008,0.89423,0.59846,0.41262,0.4847,0.23866,1.36385,1.32857,0.97911,0.0008912,0.0008912,0.0008912
30,3472.27,1.40244,1.14293,0.92713,0.70517,0.41799,0.4982,0.25621,1.42041,1.35522,1.02431,0.0008516,0.0008516,0.0008516
31,3597.8,1.34521,1.0949,0.92065,0.74671,0.41262,0.53613,0.25711,1.41288,1.22458,0.98842,0.000812,0.000812,0.000812
32,3729,1.29894,1.04037,0.89625,0.60468,0.48265,0.52799,0.25995,1.3589,1.25919,0.96912,0.0007724,0.0007724,0.0007724
33,3854.39,1.36397,1.14507,0.89454,0.54775,0.44685,0.49883,0.25043,1.32701,1.24668,0.96316,0.0007328,0.0007328,0.0007328
34,3979.81,1.34595,1.10142,0.90223,0.73248,0.41748,0.52684,0.26099,1.36933,1.23348,0.97677,0.0006932,0.0006932,0.0006932
35,4111.23,1.31511,1.12495,0.88782,0.64835,0.51456,0.5797,0.26726,1.44423,1.2178,1.01061,0.0006536,0.0006536,0.0006536
36,4236.12,1.37489,1.10983,0.93328,0.59912,0.53398,0.51317,0.22455,1.38318,1.20122,1.01673,0.000614,0.000614,0.000614
