epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,122.42,1.72041,6.64307,1.07802,0.04034,0.36893,0.02147,0.00753,2.17702,242.019,1.40336,0.000664884,0.000664884,0.000664884
2,249.97,1.89725,2.50619,1.22866,0.46108,0.21359,0.22681,0.08757,1.95488,2.59693,1.34429,0.00130519,0.00130519,0.00130519
3,374.696,1.89631,2.36013,1.23423,0.57664,0.24757,0.2576,0.12316,1.91994,2.53669,1.30958,0.00191909,0.00191909,0.00191909
4,507.634,1.80816,2.1621,1.19258,0.55013,0.33495,0.36046,0.1447,1.83851,1.89996,1.25177,0.0018812,0.0018812,0.0018812
5,633.99,1.86026,2.11722,1.2404,0.44728,0.3301,0.34579,0.15184,1.83474,1.85418,1.36704,0.0018416,0.0018416,0.0018416
6,761.227,1.76796,1.88977,1.14573,0.42513,0.32039,0.29409,0.11725,1.80193,2.46101,1.28921,0.001802,0.001802,0.001802
