epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.0737,2.19752,4.82074,1.14744,0.02924,0.2233,0.00908,0.00332,1.91452,172.265,1.54464,0.000654321,0.000654321,0.000654321
2,38.2902,2.22627,1.44921,1.11785,0.01737,0.54854,0.012,0.00411,1.81853,179.7,0.95595,0.00105943,0.00105943,0.00105943
3,56.2279,2.1818,1.28811,1.11632,0.0145,0.51942,0.01082,0.00384,1.72236,451.915,0.90547,0.00120054,0.00120054,0.00120054
4,74.0632,2.10821,1.2241,1.07158,0.07358,0.48058,0.04773,0.01901,1.57973,75.6107,0.86023,0.000812,0.000812,0.000812
5,92.1088,1.95981,1.13847,1.04012,0.7061,0.56311,0.57816,0.24166,1.46884,1.13731,0.80867,0.000416,0.000416,0.000416
