epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,116.899,1.62534,5.37031,1.04833,0.47898,0.33981,0.2795,0.10404,1.81739,2.20567,1.18174,0.000665331,0.000665331,0.000665331
2,230.652,1.71906,2.11181,1.08974,0.53276,0.32658,0.34092,0.13011,1.84533,2.03395,1.36723,0.00130562,0.00130562,0.00130562
3,343.528,1.70523,2.05106,1.05306,0.44974,0.32039,0.30011,0.11447,1.76013,2.49533,1.23264,0.00191952,0.00191952,0.00191952
4,455.835,1.62187,1.88909,1.06672,0.43106,0.26699,0.27096,0.104,1.81429,1.81265,1.21811,0.0018812,0.0018812,0.0018812
5,568.494,1.65904,1.95559,1.04252,0.40959,0.2767,0.27164,0.1058,1.68397,1.76866,1.13522,0.0018416,0.0018416,0.0018416
6,681.067,1.63719,1.7196,1.07267,0.3847,0.29612,0.29428,0.1277,1.6745,1.73156,1.12938,0.001802,0.001802,0.001802
7,794.139,1.60257,1.64775,1.04952,0.45482,0.30583,0.32246,0.15605,1.45884,1.7982,1.03795,0.0017624,0.0017624,0.0017624
8,907.073,1.63523,1.65414,1.07431,0.49353,0.30583,0.31888,0.14771,1.69895,1.90068,1.12833,0.0017228,0.0017228,0.0017228
9,1019.6,1.60265,1.71982,1.02842,0.56717,0.35622,0.40449,0.1858,1.57497,1.56832,1.10732,0.0016832,0.0016832,0.0016832
10,1132.39,1.53711,1.57635,1.03084,0.56693,0.42578,0.45431,0.2014,1.58674,1.38262,1.10845,0.0016436,0.0016436,0.0016436
11,1245.11,1.54102,1.49249,1.00307,0.48777,0.41748,0.42124,0.20857,1.48497,1.49939,1.04662,0.001604,0.001604,0.001604
12,1357.87,1.50995,1.40003,1.02288,0.48748,0.33981,0.38924,0.18479,1.62054,1.51805,1.09107,0.0015644,0.0015644,0.0015644
13,1470.78,1.49957,1.44413,0.97457,0.5456,0.41748,0.46979,0.20958,1.57822,1.34225,1.07907,0.0015248,0.0015248,0.0015248
14,1583.99,1.50885,1.45971,1.02546,0.5019,0.39806,0.41025,0.18522,1.48529,1.42653,1.03478,0.0014852,0.0014852,0.0014852
15,1696.59,1.47646,1.29868,0.97141,0.50437,0.34951,0.38054,0.19306,1.40977,1.49368,0.98697,0.0014456,0.0014456,0.0014456
