epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,146.785,1.46021,1.1012,0.99124,0.43441,0.48187,0.3089,0.12694,1.63835,3.17755,1.16963,0.000664523,0.000664523,0.000664523
2,251.669,1.48276,0.81595,1.01706,0.2987,0.44138,0.20703,0.08501,1.68191,4.22534,1.20306,0.00131801,0.00131801,0.00131801
3,372.524,1.43056,0.76993,0.99476,0.51964,0.47668,0.39963,0.17666,1.65249,1.68034,1.19316,0.0019583,0.0019583,0.0019583
4,477.96,1.36684,0.74167,0.98422,0.51554,0.52332,0.44005,0.21611,1.55212,2.16619,1.1281,0.0019406,0.0019406,0.0019406
5,612.099,1.32746,0.7252,0.97428,0.55166,0.60622,0.50734,0.20294,1.50246,2.83399,1.09823,0.0019208,0.0019208,0.0019208
6,743.135,1.31145,0.70687,0.96352,0.55166,0.58655,0.5324,0.24333,1.54339,2.09435,1.14281,0.001901,0.001901,0.001901
7,882.564,1.27514,0.68866,0.95557,0.65988,0.57513,0.50437,0.22503,1.49476,1.58272,1.11147,0.0018812,0.0018812,0.0018812
8,1046.46,1.25891,0.67425,0.9475,0.64,0.49741,0.50171,0.24757,1.48692,1.5645,1.09003,0.0018614,0.0018614,0.0018614
9,1180.19,1.24819,0.6688,0.94221,0.59452,0.53886,0.4796,0.22011,1.55731,1.93363,1.1057,0.0018416,0.0018416,0.0018416
10,1307.65,1.24458,0.65858,0.94623,0.6134,0.64946,0.56597,0.28019,1.49757,1.76045,1.09285,0.0018218,0.0018218,0.0018218
11,1383.65,1.21557,0.64919,0.93475,0.63023,0.62694,0.56239,0.25576,1.52539,1.86356,1.10087,0.001802,0.001802,0.001802
12,1456.81,1.20018,0.62906,0.93278,0.56957,0.62694,0.55114,0.26073,1.53339,1.48439,1.10527,0.0017822,0.0017822,0.0017822
13,1529.79,1.19288,0.63533,0.92963,0.71712,0.61658,0.62643,0.30477,1.4555,1.43715,1.08775,0.0017624,0.0017624,0.0017624
14,1603.63,1.18956,0.62856,0.92859,0.64501,0.57513,0.56469,0.27084,1.49635,1.45472,1.0898,0.0017426,0.0017426,0.0017426
15,1677.29,1.17692,0.62667,0.92062,0.7203,0.6138,0.61825,0.3107,1.49681,1.36381,1.10201,0.0017228,0.0017228,0.0017228
