epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.4186,2.14343,3.76811,1.09574,0.01835,0.51942,0.01274,0.00417,2.10082,426.527,1.04363,0.000659091,0.000659091,0.000659091
2,39.2842,2.26276,1.53639,1.14358,0.02298,0.51942,0.01645,0.00563,1.89593,630.06,1.34479,0.00106326,0.00106326,0.00106326
3,57.6479,2.25167,2.08068,1.15261,0.27963,0.57282,0.20931,0.07155,1.76668,5.69418,0.96765,0.00120342,0.00120342,0.00120342
4,75.9559,2.07732,1.16108,1.07328,0.66975,0.52913,0.54583,0.197,1.80495,1.193,0.93462,0.000812,0.000812,0.000812
5,94.3679,1.98341,1.16732,1.06485,0.69417,0.53398,0.57756,0.25734,1.65583,1.00095,0.90634,0.000416,0.000416,0.000416
