epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,120.382,1.97163,7.0428,1.24723,0.64994,0.58252,0.58675,0.26438,1.90864,1.65062,1.32282,0.000395745,0.000395745,0.000395745
2,238.818,1.94756,1.75279,1.28876,0.00217,0.37864,0.00144,0.00055,2.19906,inf,1.56593,0.000787867,0.000787867,0.000787867
3,335.354,2.01304,1.49387,1.35897,0.6007,0.51456,0.54747,0.23909,2.09116,4.07647,1.42137,0.00117207,0.00117207,0.00117207
4,435.293,2.00846,1.37614,1.32624,0.57924,0.55467,0.43675,0.15631,1.9971,5.40954,1.33117,0.00154835,0.00154835,0.00154835
5,528.884,1.94883,1.32765,1.30212,0.61809,0.57282,0.57515,0.25234,1.98423,1.32554,1.30905,0.00191671,0.00191671,0.00191671
6,617.731,1.88602,1.20578,1.25629,0.65302,0.63592,0.60103,0.26987,1.9748,1.65359,1.28171,0.001901,0.001901,0.001901
7,701.68,1.83212,1.19239,1.26736,0.76225,0.48058,0.60109,0.27374,2.00021,1.39726,1.30831,0.0018812,0.0018812,0.0018812
8,781.041,1.8982,1.18314,1.28852,0.6362,0.63592,0.63946,0.28734,1.97873,1.24098,1.2575,0.0018614,0.0018614,0.0018614
9,861.678,1.79145,1.13942,1.20944,0.69983,0.64511,0.65231,0.30193,1.89145,1.73334,1.2515,0.0018416,0.0018416,0.0018416
10,953.184,1.74538,1.00764,1.21772,0.61552,0.63107,0.61217,0.28038,1.94693,1.24052,1.29296,0.0018218,0.0018218,0.0018218
11,1074.6,1.80667,1.0611,1.26487,0.62814,0.59709,0.66096,0.31084,1.93622,1.24479,1.2606,0.001802,0.001802,0.001802
12,1182.99,1.75572,1.06575,1.19643,0.79386,0.6917,0.6895,0.30294,1.84915,1.14534,1.24016,0.0017822,0.0017822,0.0017822
13,1305.4,1.63692,1.0163,1.2108,0.73962,0.62136,0.64773,0.30548,1.904,1.19994,1.24888,0.0017624,0.0017624,0.0017624
14,1387.27,1.72508,1.01568,1.2097,0.71612,0.66019,0.66245,0.28554,1.89769,1.17839,1.24287,0.0017426,0.0017426,0.0017426
15,1473.49,1.77993,1.0567,1.24026,0.70538,0.68447,0.70014,0.32636,1.93517,1.19019,1.28489,0.0017228,0.0017228,0.0017228
16,1578.14,1.67329,0.95262,1.15053,0.70095,0.68932,0.69178,0.29225,1.99003,1.11981,1.27183,0.001703,0.001703,0.001703
17,1699.79,1.67191,1.03154,1.17402,0.68636,0.67961,0.70718,0.31788,1.90486,1.17987,1.24494,0.0016832,0.0016832,0.0016832
18,1821.6,1.69588,1.00895,1.16685,0.73864,0.68598,0.65296,0.28113,1.96053,1.17926,1.30737,0.0016634,0.0016634,0.0016634
19,1969.24,1.65757,0.91356,1.15526,0.74439,0.66505,0.69546,0.33209,1.94456,1.17408,1.26551,0.0016436,0.0016436,0.0016436
20,2106.76,1.65348,0.91984,1.12741,0.6623,0.67595,0.67717,0.33887,1.87308,1.21798,1.2434,0.0016238,0.0016238,0.0016238
21,2224,1.5793,0.87752,1.14911,0.78444,0.63592,0.67541,0.30685,1.87642,1.07953,1.2644,0.001604,0.001604,0.001604
22,2346.73,1.54941,0.8414,1.13291,0.7461,0.68472,0.71794,0.34006,1.8481,1.0655,1.26147,0.0015842,0.0015842,0.0015842
23,2481.53,1.56119,0.8574,1.115,0.73287,0.69417,0.71114,0.32914,1.86106,1.15205,1.22356,0.0015644,0.0015644,0.0015644
24,2604,1.50308,0.81518,1.10451,0.72219,0.63592,0.65098,0.30383,1.90403,1.12054,1.22179,0.0015446,0.0015446,0.0015446
25,2710.91,1.52999,0.84949,1.11881,0.72173,0.68932,0.70804,0.33327,1.84858,1.04579,1.22544,0.0015248,0.0015248,0.0015248
26,2822.5,1.56194,0.84535,1.1071,0.74893,0.70956,0.72789,0.3524,1.8676,0.9924,1.25503,0.001505,0.001505,0.001505
27,2942.65,1.55322,0.81861,1.12984,0.73847,0.65049,0.69122,0.3264,1.81834,1.13549,1.21647,0.0014852,0.0014852,0.0014852
28,3053.02,1.53876,0.81142,1.09237,0.80262,0.71359,0.75359,0.35566,1.85367,1.06903,1.19276,0.0014654,0.0014654,0.0014654
29,3168.44,1.55055,0.80524,1.13787,0.72752,0.70874,0.71634,0.32393,1.88771,1.1662,1.22888,0.0014456,0.0014456,0.0014456
30,3284.12,1.48742,0.81035,1.10774,0.77569,0.69903,0.71878,0.35317,1.84024,1.1725,1.22149,0.0014258,0.0014258,0.0014258
31,3403.86,1.49355,0.7763,1.08813,0.74419,0.72021,0.71645,0.33551,1.86252,1.05007,1.22272,0.001406,0.001406,0.001406
32,3517.97,1.47844,0.7794,1.09849,0.76253,0.71703,0.74492,0.34652,1.84828,1.04087,1.27669,0.0013862,0.0013862,0.0013862
33,3636.63,1.47401,0.75673,1.08319,0.75125,0.68905,0.71353,0.3507,1.83692,1.16938,1.24097,0.0013664,0.0013664,0.0013664
34,3747.75,1.43954,0.766,1.07577,0.71777,0.62621,0.664,0.31994,1.90504,1.16898,1.3368,0.0013466,0.0013466,0.0013466
35,3857.16,1.44245,0.78197,1.09601,0.72842,0.7031,0.68458,0.308,1.89971,1.14456,1.31522,0.0013268,0.0013268,0.0013268
36,3971.44,1.50717,0.77722,1.09348,0.74555,0.7112,0.70237,0.33057,1.80807,1.08459,1.23622,0.001307,0.001307,0.001307
37,4088.52,1.45995,0.75143,1.09016,0.74195,0.67476,0.68991,0.30808,1.88888,1.1092,1.2352,0.0012872,0.0012872,0.0012872
38,4206.73,1.44116,0.7465,1.09217,0.70939,0.65049,0.70688,0.33503,1.93556,1.06122,1.29449,0.0012674,0.0012674,0.0012674
39,4301.62,1.37955,0.78712,1.06592,0.73178,0.72816,0.72613,0.34749,1.80565,1.05332,1.20683,0.0012476,0.0012476,0.0012476
40,4432.99,1.44365,0.7452,1.08317,0.75489,0.73301,0.73308,0.34284,1.78995,1.02795,1.22011,0.0012278,0.0012278,0.0012278
