epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.87882,2.27421,11.3915,1.16647,0.35725,0.26887,0.19795,0.08321,1.95882,5.23966,0.96309,4e-05,4e-05,4e-05
2,12.4484,2.20791,8.06099,1.0407,0.30568,0.29075,0.188,0.07809,1.96895,5.35458,0.96263,9.901e-05,9.901e-05,9.901e-05
3,16.2263,2.32628,8.846,0.98087,0.00115,0.05189,0.00061,0.00029,2.06771,5.92408,1.00152,0.000156832,0.000156832,0.000156832
4,21.0882,2.38483,6.45862,0.98944,0.08113,0.19811,0.03884,0.01502,1.97511,11.9549,1.00217,0.000213466,0.000213466,0.000213466
5,24.6729,2.6466,6.1097,1.13656,0.01504,0.22642,0.00788,0.00314,2.24071,35.0403,1.04958,0.000268912,0.000268912,0.000268912
6,29.6569,2.23357,4.56937,1.09278,0.00844,0.08962,0.00368,0.00172,2.10066,59.7799,1.04854,0.00032317,0.00032317,0.00032317
7,35.924,2.01917,3.2122,0.91154,0.0101,0.43396,0.00738,0.0031,2.15811,inf,1.08563,0.00037624,0.00037624,0.00037624
8,40.7856,2.42034,4.40728,1.06307,0.00036,0.01415,0.00016,8e-05,2.48752,inf,1.0946,0.000428122,0.000428122,0.000428122
9,45.6777,2.16237,3.6129,1.00806,0.00641,0.16509,0.00375,0.00164,2.3683,113.905,1.09616,0.000478816,0.000478816,0.000478816
10,49.4014,2.1033,2.39032,1.00253,0.00332,0.12264,0.0016,0.00063,2.40046,inf,1.2514,0.000528322,0.000528322,0.000528322
11,53.9768,2.17611,2.03631,0.96552,0.01324,0.2783,0.0071,0.00277,2.37921,inf,1.15787,0.00057664,0.00057664,0.00057664
12,61.3372,1.90076,1.87738,0.90511,0.04674,0.28774,0.02177,0.00741,2.39944,127.726,1.23629,0.00062377,0.00062377,0.00062377
13,68.5278,2.08574,1.80087,0.94934,0.16809,0.18868,0.05419,0.01871,2.41272,20.1757,1.23131,0.000669712,0.000669712,0.000669712
